00:00:00     4MB         | log started Tue May  6 20:14:49 2014
00:00:00     4MB         | Arnold 4.1.3.5 darwin clang420 oiio10202 rlm1012 2014/04/09 09:57:58
00:00:00     5MB         | running on Pilars-MacBook-Pro.local
00:00:00     5MB         |  1 x Intel(R) Core(TM) i7-3720QM CPU @ 2.60GHz (4 cores, 8 logical) with 8192MB
00:00:00     5MB         |  OS X 10.9.2 "Mavericks", Darwin kernel 13.1.0
00:00:00     5MB         |  
00:00:00     5MB         | [kick] command: /Users/pilar/Documents/Code/Arnold/Arnold-4.1.3.5-darwin/bin/kick -logfile fractalTest4.log fractalTest4.ass -v 6
00:00:00     5MB         | loading plugins from . ...
00:00:00     5MB         | no plugins loaded
00:00:00     5MB         | [ass] loading fractalTest4.ass ...
00:00:00     5MB         | [ass] read 2263 bytes, 10 nodes in 0:00.03
00:00:00     5MB         |  
00:00:00     5MB         | [rlm] checking connection to license server on 5053@localhost ...
00:00:00     5MB WARNING | [rlm] could not connect to license server on 5053@localhost
00:00:00     6MB         |  
00:00:00     6MB         | there are 1 light and 2 objects:
00:00:00     6MB         |  1 procedural
00:00:00     6MB         |  1 plane
00:00:00     6MB         |  
00:00:00     6MB         | rendering image at 960 x 540, -3 AA samples, 3 GI samples, 1 GI bounces
00:00:00     6MB         |  initializing 15 nodes ...
00:00:00     6MB         |  node initialization done in 0:00.00
00:00:00     7MB         |  creating root object list ...
00:00:00     7MB         |   scene bounds: (-1.00000002e+30 -1.00000002e+30 -1.00000002e+30) -> (1.00000002e+30 1.00000002e+30 1.00000002e+30)
00:00:00     7MB         |  updating 16 nodes ...
00:00:00     7MB         |   /obj/arnold_light2: point_light using 2 samples
00:00:00     7MB         |  node update done in 0:00.00
00:00:00     7MB         |  [aov] parsing output statement: "RGBA RGBA kick_display_filter kick_display"
00:00:00     7MB         |  [aov] registered driver: "kick_display" (driver_x11)
00:00:00     7MB         |  [aov]  * "RGBA" of type RGBA filtered by "kick_display_filter" (gaussian_filter)
00:00:00    16MB         |  [aov] done preparing 1 AOV for 1 output to 1 driver (0 deep AOVs)
00:00:00    16MB         |  starting 8 bucket workers of size 64x64 ...
00:00:00    16MB         |   [accel] bvh4 done - 0:00.00 - 2 prims, 1 key
00:00:00    16MB         |   [proc] /obj/Fractal_Procedural1: loading fractal.so
00:04:25  2984MB         |   [proc] /obj/Fractal_Procedural1: loaded 30 nodes (30 objects)
00:04:25  2984MB WARNING |   [proc] /obj/Fractal_Procedural1: user bounds could be infx more efficient. given: (-1.00000002e+30, -1.00000002e+30, -1.00000002e+30) to (1.00000002e+30, 1.00000002e+30, 1.00000002e+30), should be: (-1.25166667, -1.25166667, -1.25166667) to (1.24958336, 1.24958336, 1.24958336)
00:04:25  2983MB         |   [accel] bvh4 done - 0:00.00 - 30 prims, 1 key
00:04:39  3570MB         |   [accel] bvh4 done - 0:13.10 - 7606061 prims, 1 key
00:04:41  3349MB         |   [accel] bvh4 done - 0:15.13 - 9602488 prims, 1 key
00:04:43  3461MB         |   [accel] bvh4 done - 0:17.18 - 9818868 prims, 1 key
00:04:44  3710MB         |   [accel] bvh4 done - 0:18.13 - 10256472 prims, 1 key
00:04:44  3999MB         |   [accel] bvh4 done - 0:18.41 - 10330224 prims, 1 key
00:04:44  4122MB         |   [accel] bvh4 done - 0:18.53 - 10406939 prims, 1 key
00:04:47  3910MB         |   [accel] bvh4 done - 0:21.62 - 11836223 prims, 1 key
00:04:47  4177MB         |   [accel] bvh4 done - 0:21.97 - 11813933 prims, 1 key
00:04:49  4225MB         |   [accel] bvh4 done - 0:08.83 - 9372618 prims, 1 key
00:04:52  4251MB         |   [accel] bvh4 done - 0:08.93 - 10412120 prims, 1 key
00:04:54  3905MB         |   [accel] bvh4 done - 0:10.33 - 11787225 prims, 1 key
00:04:56  3735MB         |   [accel] bvh4 done - 0:11.75 - 10378591 prims, 1 key
00:04:56  3502MB         |   [accel] bvh4 done - 0:12.85 - 10374984 prims, 1 key
00:04:57  3324MB         |   [accel] bvh4 done - 0:10.21 - 10311702 prims, 1 key
00:05:00  3772MB         |   [accel] bvh4 done - 0:02.24 - 10505785 prims, 1 key
00:05:02  4065MB         |   [accel] bvh4 done - 0:02.07 - 9750173 prims, 1 key
00:05:05  4396MB         |   [accel] bvh4 done - 0:03.28 - 11858486 prims, 1 key
00:05:07  4274MB         |   [accel] bvh4 done - 0:02.57 - 9409456 prims, 1 key
00:05:10  4256MB         |   [accel] bvh4 done - 0:08.02 - 5538337 prims, 1 key
00:05:11  3902MB         |   [accel] bvh4 done - 0:03.65 - 9486576 prims, 1 key
00:05:13  4121MB         |   [accel] bvh4 done - 0:03.25 - 2949290 prims, 1 key
00:05:16  3697MB         |   [accel] bvh4 done - 0:04.63 - 7685167 prims, 1 key
00:05:17  3830MB         |   [accel] bvh4 done - 0:05.45 - 5120953 prims, 1 key
00:05:19  3538MB         |   [accel] bvh4 done - 0:02.86 - 5690526 prims, 1 key
00:05:20  3625MB         |   [accel] bvh4 done - 0:03.09 - 2616816 prims, 1 key
00:05:20  3628MB         |   [accel] bvh4 done - 0:01.36 - 2981666 prims, 1 key
00:05:21  3515MB         |   [accel] bvh4 done - 0:01.22 - 2595224 prims, 1 key
00:05:22  3410MB         |   [accel] bvh4 done - 0:01.30 - 2686999 prims, 1 key
00:05:23  3385MB         |   [accel] bvh4 done - 0:03.13 - 2675031 prims, 1 key
00:05:25  3144MB         |   [accel] bvh4 done - 0:02.80 - 5055602 prims, 1 key
00:05:25  3113MB         |     0% done - 30 rays/pixel
00:05:25  3085MB         |     5% done - 29 rays/pixel
00:05:25  3079MB         |    10% done - 23 rays/pixel
00:05:26  3051MB         |    15% done - 29 rays/pixel
00:05:26  3051MB         |    20% done - 29 rays/pixel
00:05:26  3040MB         |    25% done - 29 rays/pixel
00:05:26  3032MB         |    30% done - 26 rays/pixel
00:05:26  2949MB         |    35% done - 29 rays/pixel
00:05:26  2862MB         |    40% done - 27 rays/pixel
00:05:26  2886MB         |    45% done - 25 rays/pixel
00:05:26  2910MB         |    50% done - 25 rays/pixel
00:05:26  2918MB         |    55% done - 27 rays/pixel
00:05:26  2932MB         |    60% done - 29 rays/pixel
00:05:26  2956MB         |    65% done - 28 rays/pixel
00:05:26  2975MB         |    70% done - 28 rays/pixel
00:05:26  2995MB         |    75% done - 27 rays/pixel
00:05:26  3008MB         |    80% done - 28 rays/pixel
00:05:26  3022MB         |    85% done - 27 rays/pixel
00:05:26  3050MB         |    90% done - 28 rays/pixel
00:05:26  3063MB         |    95% done - 28 rays/pixel
00:05:26  3079MB         |   100% done - 29 rays/pixel
00:05:26  3079MB         |  bucket workers done in 5:26.35
00:05:26  3079MB         | render done
00:05:26  3080MB         |  
00:05:26  3080MB         | -----------------------------------------------------------------------------------------
00:05:26  3080MB         | scene creation time:
00:05:26  3080MB         |  plugin loading               0:00.00
00:05:26  3080MB         |  .ass parsing                 0:00.03
00:05:26  3080MB         |  system/unaccounted           0:00.04
00:05:26  3080MB         |  total                        0:00.04  ( 0.47% machine utilization)
00:05:26  3080MB         | -----------------------------------------------------------------------------------------
00:05:26  3080MB         | render time:
00:05:26  3080MB         |  node init                    0:00.00
00:05:26  3080MB         |  bucket rendering             5:26.35
00:05:26  3080MB         |   accel. building             4:18.04
00:05:26  3080MB         |   procedural expansion        4:25.84
00:05:26  3080MB         |   pixel rendering             0:00.00  (multi-threaded render, this value may not be reliable)
00:05:26  3080MB         |  system/unaccounted           2:38.91
00:05:26  3080MB         |  total                        5:26.35  (51.31% machine utilization)
00:05:26  3080MB         | -----------------------------------------------------------------------------------------
00:05:26  3080MB         | memory consumed in MB:
00:05:26  3080MB         |  at startup                      3.49
00:05:26  3080MB         |  plugins                         0.06
